City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Laguna,US,83.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
356,Prachuap Khiri Khan,TH,79.68,light rain,12.2167,99.75,ผกากรองรีสอร์ท
357,Orcopampa,PE,50.81,heavy intensity rain,-15.2661,-72.3417,Happy Wasi
358,Port Augusta,AU,64.83,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
359,Coquimbo,CL,64.13,few clouds,-29.9533,-71.3436,Hotel San Juan
361,Tecolutla,MX,87.66,broken clouds,20.4833,-97.0167,Hotel Plaza Marsol
362,Ruy Barbosa,BR,80.13,overcast clouds,-12.2839,-40.4939,Flats em Ruy Barbosa - BA
365,Flinders,AU,71.19,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
366,Winnemucca,US,60.85,clear sky,40.973,-117.7357,Winners Inn Casino
367,Qiongshan,CN,76.98,broken clouds,20.0058,110.3542,Sun City Restaurant
369,Kaeo,NZ,71.33,few clouds,-35.1,173.7833,Bushido Lodge
375,Cedeno,CO,81.32,overcast clouds,7.0464,-72.1634,BASE MILITAR DE GIBRALTAR
376,Thabazimbi,ZA,64.2,scattered clouds,-24.5917,27.4116,Eagle's Rest
378,Dicabisagan,PH,77,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
379,Guna,IN,76.59,clear sky,24.65,77.3167,Hotel G K Jain
380,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
381,Benguela,AO,79,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
384,Bandarbeyla,SO,76.15,broken clouds,9.4942,50.8122,JABIR HOTEL
385,Kumba,CM,75.79,overcast clouds,4.6363,9.4469,El Bethel Hotel
387,Gbarnga,LR,74.89,broken clouds,6.9956,-9.4722,Passion Hotel 2
388,Buraydah,SA,72.05,scattered clouds,26.326,43.975,Mövenpick Qassim
389,Payson,US,51.55,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
390,Bonga,ET,60.94,light rain,7.2833,36.2333,Abelena bare and restorant
391,Hoa Binh,VN,76.41,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
393,Krishnanagar,IN,72.84,broken clouds,23.4,88.5,SPOT ON 65884 New City Hotel & Lodge
394,Masindi,UG,64.17,light rain,1.6744,31.715,New Court View Hotel
395,Noumea,NC,79,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
401,Buala,SB,83.3,light rain,-8.145,159.5921,Maringe Lagoon Lodge
402,Camopi,GF,74.07,light rain,3.1655,-52.3158,La pousada
404,La Llanada,CO,61.57,moderate rain,1.49,-77.5835,Bolívar - Samaniego
405,Mitsamiouli,KM,81.21,light rain,-11.3847,43.2844,Foyer ADM
406,Karratha,AU,88.38,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
